draft_model,prefill,budget,acceptance_rate,avg_token
68m,2000,-1.0,0.12313432835820895,0.4925373134328358
68m,2000,-1.0,0.17016806722689076,0.680672268907563
68m,2000,-1.0,0.12878787878787878,0.5151515151515151
68m,2000,-1.0,0.12593984962406016,0.5037593984962406
68m,2000,-1.0,0.19642857142857142,0.7857142857142857
68m,2000,-1.0,0.1488095238095238,0.5952380952380952
68m,2000,-1.0,0.11151079136690648,0.4460431654676259
68m,2000,-1.0,0.11151079136690648,0.4460431654676259
68m,2000,-1.0,0.16393442622950818,0.6557377049180327
68m,2000,-1.0,0.125,0.5
68m,2000,-1.0,0.1810344827586207,0.7241379310344828
68m,2000,-1.0,0.140625,0.5625
68m,2000,-1.0,0.17016806722689076,0.680672268907563
68m,2000,-1.0,0.11231884057971014,0.4492753623188406
68m,2000,-1.0,0.11678832116788321,0.46715328467153283
68m,2000,-1.0,0.3146067415730337,1.2584269662921348
68m,2000,-1.0,0.156,0.624
68m,2000,-1.0,0.1375968992248062,0.5503875968992248
68m,2000,-1.0,0.040697674418604654,0.16279069767441862
68m,2000,-1.0,0.11231884057971014,0.4492753623188406
68m,2000,-1.0,0.1375968992248062,0.5503875968992248
68m,2000,-1.0,0.14682539682539683,0.5873015873015873
68m,2000,-1.0,0.10314685314685315,0.4125874125874126
68m,2000,-1.0,0.12313432835820895,0.4925373134328358
68m,2000,-1.0,0.1532258064516129,0.6129032258064516
68m,2000,-1.0,0.24504950495049505,0.9801980198019802
68m,2000,-1.0,0.154,0.616
68m,4000,-1.0,0.14566929133858267,0.5826771653543307
68m,4000,-1.0,0.1346153846153846,0.5384615384615384
68m,4000,-1.0,0.12878787878787878,0.5151515151515151
68m,4000,-1.0,0.12878787878787878,0.5151515151515151
68m,4000,-1.0,0.15853658536585366,0.6341463414634146
68m,4000,-1.0,0.12781954887218044,0.5112781954887218
68m,4000,-1.0,0.23076923076923078,0.9230769230769231
68m,4000,-1.0,0.15,0.6
68m,4000,-1.0,0.18478260869565216,0.7391304347826086
68m,4000,-1.0,0.1346153846153846,0.5384615384615384
68m,4000,-1.0,0.10387323943661972,0.4154929577464789
68m,4000,-1.0,0.16463414634146342,0.6585365853658537
68m,4000,-1.0,0.14682539682539683,0.5873015873015873
68m,4000,-1.0,0.140625,0.5625
68m,4000,-1.0,0.13068181818181818,0.5227272727272727
68m,4000,-1.0,0.2602040816326531,1.0408163265306123
68m,4000,-1.0,0.20681818181818182,0.8272727272727273
68m,4000,-1.0,0.1316793893129771,0.5267175572519084
68m,4000,-1.0,0.10139860139860139,0.40559440559440557
68m,4000,-1.0,0.12969924812030076,0.518796992481203
68m,4000,-1.0,0.17016806722689076,0.680672268907563
68m,4000,-1.0,0.1375968992248062,0.5503875968992248
68m,4000,-1.0,0.1598360655737705,0.639344262295082
68m,4000,-1.0,0.1437007874015748,0.5748031496062992
68m,4000,-1.0,0.09965034965034965,0.3986013986013986
68m,4000,-1.0,0.21728971962616822,0.8691588785046729
68m,4000,-1.0,0.13358778625954199,0.5343511450381679
68m,4000,-1.0,0.08112582781456953,0.32450331125827814
68m,4000,-1.0,0.35119047619047616,1.4047619047619047
68m,4000,-1.0,0.12037037037037036,0.48148148148148145
68m,4000,-1.0,0.0805921052631579,0.3223684210526316
68m,4000,-1.0,0.16322314049586778,0.6528925619834711
68m,4000,-1.0,0.21296296296296297,0.8518518518518519
68m,4000,-1.0,0.16188524590163936,0.6475409836065574
68m,4000,-1.0,0.24754901960784315,0.9901960784313726
68m,4000,-1.0,0.1316793893129771,0.5267175572519084
68m,4000,-1.0,0.12593984962406016,0.5037593984962406
68m,8000,-1.0,0.1488095238095238,0.5952380952380952
68m,8000,-1.0,0.0805921052631579,0.3223684210526316
68m,8000,-1.0,0.06847133757961783,0.27388535031847133
68m,8000,-1.0,0.11678832116788321,0.46715328467153283
68m,8000,-1.0,0.18859649122807018,0.7543859649122807
68m,8000,-1.0,0.13358778625954199,0.5343511450381679
68m,8000,-1.0,0.13358778625954199,0.5343511450381679
68m,8000,-1.0,0.1598360655737705,0.639344262295082
68m,8000,-1.0,0.13358778625954199,0.5343511450381679
68m,8000,-1.0,0.1346153846153846,0.5384615384615384
68m,8000,-1.0,0.12878787878787878,0.5151515151515151
68m,8000,-1.0,0.12969924812030076,0.518796992481203
68m,8000,-1.0,0.1346153846153846,0.5384615384615384
68m,8000,-1.0,0.13257575757575757,0.5303030303030303
68m,8000,-1.0,0.13068181818181818,0.5227272727272727
68m,8000,-1.0,0.1437007874015748,0.5748031496062992
68m,8000,-1.0,0.15,0.6
68m,8000,-1.0,0.1375968992248062,0.5503875968992248
68m,8000,-1.0,0.1722689075630252,0.6890756302521008
68m,8000,-1.0,0.13953488372093023,0.5581395348837209
68m,8000,-1.0,0.20945945945945946,0.8378378378378378
68m,8000,-1.0,0.140625,0.5625
68m,8000,-1.0,0.12878787878787878,0.5151515151515151
68m,8000,-1.0,0.18162393162393162,0.7264957264957265
68m,8000,-1.0,0.07894736842105263,0.3157894736842105
68m,8000,-1.0,0.2354368932038835,0.941747572815534
68m,8000,-1.0,0.14147286821705427,0.5658914728682171
68m,8000,-1.0,0.12313432835820895,0.4925373134328358
68m,8000,-1.0,0.12593984962406016,0.5037593984962406
68m,8000,-1.0,0.1316793893129771,0.5267175572519084
68m,8000,-1.0,0.13257575757575757,0.5303030303030303
68m,8000,-1.0,0.14147286821705427,0.5658914728682171
68m,8000,-1.0,0.14566929133858267,0.5826771653543307
68m,8000,-1.0,0.12037037037037036,0.48148148148148145
68m,8000,-1.0,0.24019607843137256,0.9607843137254902
68m,8000,-1.0,0.14682539682539683,0.5873015873015873
68m,8000,-1.0,0.18859649122807018,0.7543859649122807
68m,16000,-1.0,0.12878787878787878,0.5151515151515151
68m,16000,-1.0,0.1375968992248062,0.5503875968992248
68m,16000,-1.0,0.12313432835820895,0.4925373134328358
68m,16000,-1.0,0.1316793893129771,0.5267175572519084
68m,16000,-1.0,0.21296296296296297,0.8518518518518519
68m,16000,-1.0,0.11496350364963503,0.45985401459854014
68m,16000,-1.0,0.12037037037037036,0.48148148148148145
68m,16000,-1.0,0.18695652173913044,0.7478260869565218
68m,16000,-1.0,0.23317307692307693,0.9326923076923077
68m,16000,-1.0,0.152,0.608
68m,16000,-1.0,0.1259259259259259,0.5037037037037037
68m,16000,-1.0,0.12037037037037036,0.48148148148148145
68m,16000,-1.0,0.1598360655737705,0.639344262295082
68m,16000,-1.0,0.13653846153846153,0.5461538461538461
68m,16000,-1.0,0.1532258064516129,0.6129032258064516
68m,16000,-1.0,0.13068181818181818,0.5227272727272727
68m,16000,-1.0,0.17372881355932204,0.6949152542372882
68m,16000,-1.0,0.09482758620689655,0.3793103448275862
68m,16000,-1.0,0.3597560975609756,1.4390243902439024
68m,16000,-1.0,0.1316793893129771,0.5267175572519084
68m,16000,-1.0,0.17584745762711865,0.7033898305084746
68m,16000,-1.0,0.156,0.624
68m,16000,-1.0,0.11678832116788321,0.46715328467153283
68m,16000,-1.0,0.11496350364963503,0.45985401459854014
68m,16000,-1.0,0.07894736842105263,0.3157894736842105
68m,16000,-1.0,0.18478260869565216,0.7391304347826086
68m,16000,-1.0,0.156,0.624
68m,16000,-1.0,0.16322314049586778,0.6528925619834711
68m,16000,-1.0,0.16666666666666666,0.6666666666666666
68m,16000,-1.0,0.10211267605633803,0.4084507042253521
68m,16000,-1.0,0.12878787878787878,0.5151515151515151
68m,16000,-1.0,0.12878787878787878,0.5151515151515151
68m,16000,-1.0,0.13653846153846153,0.5461538461538461
68m,16000,-1.0,0.08112582781456953,0.32450331125827814
68m,16000,-1.0,0.20454545454545456,0.8181818181818182
68m,16000,-1.0,0.1346153846153846,0.5384615384615384
68m,16000,-1.0,0.16188524590163936,0.6475409836065574
68m,32000,-1.0,0.14566929133858267,0.5826771653543307
68m,32000,-1.0,0.12593984962406016,0.5037593984962406
68m,32000,-1.0,0.13653846153846153,0.5461538461538461
68m,32000,-1.0,0.16875,0.675
68m,32000,-1.0,0.1810344827586207,0.7241379310344828
68m,32000,-1.0,0.154,0.616
68m,32000,-1.0,0.1680327868852459,0.6721311475409836
68m,32000,-1.0,0.1565040650406504,0.6260162601626016
68m,32000,-1.0,0.12878787878787878,0.5151515151515151
68m,32000,-1.0,0.1565040650406504,0.6260162601626016
68m,32000,-1.0,0.11678832116788321,0.46715328467153283
68m,32000,-1.0,0.142578125,0.5703125
68m,32000,-1.0,0.12781954887218044,0.5112781954887218
68m,32000,-1.0,0.17083333333333334,0.6833333333333333
68m,32000,-1.0,0.1346153846153846,0.5384615384615384
68m,32000,-1.0,0.11764705882352941,0.47058823529411764
68m,32000,-1.0,0.11496350364963503,0.45985401459854014
68m,32000,-1.0,0.13653846153846153,0.5461538461538461
68m,32000,-1.0,0.12037037037037036,0.48148148148148145
68m,32000,-1.0,0.12222222222222222,0.4888888888888889
68m,32000,-1.0,0.18220338983050846,0.7288135593220338
68m,32000,-1.0,0.11231884057971014,0.4492753623188406
68m,32000,-1.0,0.1316793893129771,0.5267175572519084
68m,32000,-1.0,0.11231884057971014,0.4492753623188406
68m,32000,-1.0,0.09965034965034965,0.3986013986013986
68m,32000,-1.0,0.16666666666666666,0.6666666666666666
68m,32000,-1.0,0.16188524590163936,0.6475409836065574
68m,32000,-1.0,0.12878787878787878,0.5151515151515151
68m,32000,-1.0,0.09965034965034965,0.3986013986013986
68m,32000,-1.0,0.16735537190082644,0.6694214876033058
68m,32000,-1.0,0.142578125,0.5703125
68m,32000,-1.0,0.14682539682539683,0.5873015873015873
68m,32000,-1.0,0.17016806722689076,0.680672268907563
68m,32000,-1.0,0.10139860139860139,0.40559440559440557
68m,32000,-1.0,0.19517543859649122,0.7807017543859649
68m,32000,-1.0,0.12593984962406016,0.5037593984962406
68m,32000,-1.0,0.1598360655737705,0.639344262295082
68m,64000,-1.0,0.1346153846153846,0.5384615384615384
68m,64000,-1.0,0.21559633027522937,0.8623853211009175
68m,64000,-1.0,0.1375968992248062,0.5503875968992248
68m,64000,-1.0,0.1437007874015748,0.5748031496062992
68m,64000,-1.0,0.154,0.616
68m,64000,-1.0,0.17372881355932204,0.6949152542372882
68m,64000,-1.0,0.17016806722689076,0.680672268907563
68m,64000,-1.0,0.15,0.6
68m,64000,-1.0,0.1346153846153846,0.5384615384615384
68m,64000,-1.0,0.11764705882352941,0.47058823529411764
68m,64000,-1.0,0.09965034965034965,0.3986013986013986
68m,64000,-1.0,0.12037037037037036,0.48148148148148145
68m,64000,-1.0,0.13953488372093023,0.5581395348837209
68m,64000,-1.0,0.16322314049586778,0.6528925619834711
68m,64000,-1.0,0.10971223021582734,0.43884892086330934
68m,64000,-1.0,0.11764705882352941,0.47058823529411764
68m,64000,-1.0,0.140625,0.5625
68m,64000,-1.0,0.14682539682539683,0.5873015873015873
68m,64000,-1.0,0.12686567164179105,0.5074626865671642
68m,64000,-1.0,0.15,0.6
68m,64000,-1.0,0.19866071428571427,0.7946428571428571
68m,64000,-1.0,0.11948529411764706,0.47794117647058826
68m,64000,-1.0,0.09013605442176871,0.36054421768707484
68m,64000,-1.0,0.09895833333333333,0.3958333333333333
68m,64000,-1.0,0.14682539682539683,0.5873015873015873
68m,64000,-1.0,0.20045045045045046,0.8018018018018018
68m,64000,-1.0,0.12878787878787878,0.5151515151515151
68m,64000,-1.0,0.10971223021582734,0.43884892086330934
68m,64000,-1.0,0.1259259259259259,0.5037037037037037
68m,64000,-1.0,0.12781954887218044,0.5112781954887218
68m,64000,-1.0,0.14682539682539683,0.5873015873015873
68m,64000,-1.0,0.13953488372093023,0.5581395348837209
68m,64000,-1.0,0.17016806722689076,0.680672268907563
68m,64000,-1.0,0.11496350364963503,0.45985401459854014
68m,64000,-1.0,0.11413043478260869,0.45652173913043476
68m,64000,-1.0,0.1346153846153846,0.5384615384615384
68m,64000,-1.0,0.17016806722689076,0.680672268907563
68m,128000,-1.0,0.17083333333333334,0.6833333333333333
68m,128000,-1.0,0.10714285714285714,0.42857142857142855
68m,128000,-1.0,0.3644578313253012,1.4578313253012047
68m,128000,-1.0,0.1598360655737705,0.639344262295082
68m,128000,-1.0,0.18859649122807018,0.7543859649122807
68m,128000,-1.0,0.11496350364963503,0.45985401459854014
68m,128000,-1.0,0.1213235294117647,0.4852941176470588
68m,128000,-1.0,0.1565040650406504,0.6260162601626016
68m,128000,-1.0,0.140625,0.5625
68m,128000,-1.0,0.16875,0.675
68m,128000,-1.0,0.16322314049586778,0.6528925619834711
68m,128000,-1.0,0.13653846153846153,0.5461538461538461
68m,128000,-1.0,0.14566929133858267,0.5826771653543307
68m,128000,-1.0,0.175,0.7
68m,128000,-1.0,0.08783783783783784,0.35135135135135137
68m,128000,-1.0,0.12313432835820895,0.4925373134328358
68m,128000,-1.0,0.13068181818181818,0.5227272727272727
68m,128000,-1.0,0.140625,0.5625
68m,128000,-1.0,0.12222222222222222,0.4888888888888889
68m,128000,-1.0,0.10460992907801418,0.41843971631205673
68m,128000,-1.0,0.1437007874015748,0.5748031496062992
68m,128000,-1.0,0.15853658536585366,0.6341463414634146
68m,128000,-1.0,0.10460992907801418,0.41843971631205673
68m,128000,-1.0,0.21100917431192662,0.8440366972477065
68m,128000,-1.0,0.21962616822429906,0.8785046728971962
68m,128000,-1.0,0.12593984962406016,0.5037593984962406
68m,128000,-1.0,0.2261904761904762,0.9047619047619048
68m,128000,-1.0,0.14566929133858267,0.5826771653543307
68m,128000,-1.0,0.08557046979865772,0.3422818791946309
68m,128000,-1.0,0.152,0.608
68m,128000,-1.0,0.12313432835820895,0.4925373134328358
68m,128000,-1.0,0.1375968992248062,0.5503875968992248
68m,128000,-1.0,0.1532258064516129,0.6129032258064516
68m,128000,-1.0,0.10714285714285714,0.42857142857142855
68m,128000,-1.0,0.19690265486725664,0.7876106194690266
68m,128000,-1.0,0.152,0.608
68m,128000,-1.0,0.1652892561983471,0.6611570247933884
160m,1000,-1.0,0.19866071428571427,0.7946428571428571
160m,1000,-1.0,0.1316793893129771,0.5267175572519084
160m,1000,-1.0,0.2240566037735849,0.8962264150943396
160m,1000,-1.0,0.18859649122807018,0.7543859649122807
160m,1000,-1.0,0.21330275229357798,0.8532110091743119
160m,1000,-1.0,0.1794871794871795,0.717948717948718
160m,1000,-1.0,0.19247787610619468,0.7699115044247787
160m,1000,-1.0,0.1565040650406504,0.6260162601626016
160m,1000,-1.0,0.2354368932038835,0.941747572815534
160m,1000,-1.0,0.19642857142857142,0.7857142857142857
160m,1000,-1.0,0.19247787610619468,0.7699115044247787
160m,1000,-1.0,0.18318965517241378,0.7327586206896551
160m,1000,-1.0,0.1891304347826087,0.7565217391304347
160m,1000,-1.0,0.19469026548672566,0.7787610619469026
160m,1000,-1.0,0.1598360655737705,0.639344262295082
160m,1000,-1.0,0.2627551020408163,1.0510204081632653
160m,1000,-1.0,0.17372881355932204,0.6949152542372882
160m,1000,-1.0,0.1437007874015748,0.5748031496062992
160m,1000,-1.0,0.21296296296296297,0.8518518518518519
160m,1000,-1.0,0.1565040650406504,0.6260162601626016
160m,1000,-1.0,0.19642857142857142,0.7857142857142857
160m,1000,-1.0,0.25757575757575757,1.0303030303030303
160m,1000,-1.0,0.2354368932038835,0.941747572815534
160m,1000,-1.0,0.15,0.6
160m,1000,-1.0,0.14682539682539683,0.5873015873015873
160m,1000,-1.0,0.28191489361702127,1.127659574468085
160m,1000,-1.0,0.28191489361702127,1.127659574468085
160m,1000,-1.0,0.23095238095238096,0.9238095238095239
160m,1000,-1.0,0.17083333333333334,0.6833333333333333
160m,1000,-1.0,0.20495495495495494,0.8198198198198198
160m,1000,-1.0,0.21100917431192662,0.8440366972477065
160m,1000,-1.0,0.20909090909090908,0.8363636363636363
160m,1000,-1.0,0.19078947368421054,0.7631578947368421
160m,1000,-1.0,0.20045045045045046,0.8018018018018018
160m,1000,-1.0,0.20045045045045046,0.8018018018018018
160m,1000,-1.0,0.20871559633027523,0.8348623853211009
160m,1000,-1.0,0.140625,0.5625
160m,2000,-1.0,0.20681818181818182,0.8272727272727273
160m,2000,-1.0,0.15524193548387097,0.6209677419354839
160m,2000,-1.0,0.2219626168224299,0.8878504672897196
160m,2000,-1.0,0.14566929133858267,0.5826771653543307
160m,2000,-1.0,0.18859649122807018,0.7543859649122807
160m,2000,-1.0,0.09417808219178082,0.3767123287671233
160m,2000,-1.0,0.16875,0.675
160m,2000,-1.0,0.16666666666666666,0.6666666666666666
160m,2000,-1.0,0.2426470588235294,0.9705882352941176
160m,2000,-1.0,0.1853448275862069,0.7413793103448276
160m,2000,-1.0,0.21728971962616822,0.8691588785046729
160m,2000,-1.0,0.28191489361702127,1.127659574468085
160m,2000,-1.0,0.22877358490566038,0.9150943396226415
160m,2000,-1.0,0.1598360655737705,0.639344262295082
160m,2000,-1.0,0.30494505494505497,1.2197802197802199
160m,2000,-1.0,0.20045045045045046,0.8018018018018018
160m,2000,-1.0,0.1722689075630252,0.6890756302521008
160m,2000,-1.0,0.1346153846153846,0.5384615384615384
160m,2000,-1.0,0.19298245614035087,0.7719298245614035
160m,2000,-1.0,0.24019607843137256,0.9607843137254902
160m,2000,-1.0,0.20909090909090908,0.8363636363636363
160m,2000,-1.0,0.1316793893129771,0.5267175572519084
160m,2000,-1.0,0.20909090909090908,0.8363636363636363
160m,2000,-1.0,0.16322314049586778,0.6528925619834711
160m,2000,-1.0,0.17372881355932204,0.6949152542372882
160m,2000,-1.0,0.29347826086956524,1.173913043478261
160m,2000,-1.0,0.20681818181818182,0.8272727272727273
160m,2000,-1.0,0.16322314049586778,0.6528925619834711
160m,2000,-1.0,0.12313432835820895,0.4925373134328358
160m,2000,-1.0,0.25,1.0
160m,2000,-1.0,0.19642857142857142,0.7857142857142857
160m,2000,-1.0,0.21296296296296297,0.8518518518518519
160m,2000,-1.0,0.1853448275862069,0.7413793103448276
160m,2000,-1.0,0.19247787610619468,0.7699115044247787
160m,2000,-1.0,0.11948529411764706,0.47794117647058826
160m,2000,-1.0,0.22169811320754718,0.8867924528301887
160m,2000,-1.0,0.15476190476190477,0.6190476190476191
160m,4000,-1.0,0.1316793893129771,0.5267175572519084
160m,4000,-1.0,0.1598360655737705,0.639344262295082
160m,4000,-1.0,0.21100917431192662,0.8440366972477065
160m,4000,-1.0,0.18859649122807018,0.7543859649122807
160m,4000,-1.0,0.20495495495495494,0.8198198198198198
160m,4000,-1.0,0.16322314049586778,0.6528925619834711
160m,4000,-1.0,0.2261904761904762,0.9047619047619048
160m,4000,-1.0,0.2903225806451613,1.1612903225806452
160m,4000,-1.0,0.15,0.6
160m,4000,-1.0,0.17735042735042736,0.7094017094017094
160m,4000,-1.0,0.12878787878787878,0.5151515151515151
160m,4000,-1.0,0.19642857142857142,0.7857142857142857
160m,4000,-1.0,0.152,0.608
160m,4000,-1.0,0.2354368932038835,0.941747572815534
160m,4000,-1.0,0.20681818181818182,0.8272727272727273
160m,4000,-1.0,0.21728971962616822,0.8691588785046729
160m,4000,-1.0,0.22169811320754718,0.8867924528301887
160m,4000,-1.0,0.1810344827586207,0.7241379310344828
160m,4000,-1.0,0.2240566037735849,0.8962264150943396
160m,4000,-1.0,0.16322314049586778,0.6528925619834711
160m,4000,-1.0,0.21100917431192662,0.8440366972477065
160m,4000,-1.0,0.14682539682539683,0.5873015873015873
160m,4000,-1.0,0.1891304347826087,0.7565217391304347
160m,4000,-1.0,0.17436974789915966,0.6974789915966386
160m,4000,-1.0,0.15,0.6
160m,4000,-1.0,0.2219626168224299,0.8878504672897196
160m,4000,-1.0,0.12313432835820895,0.4925373134328358
160m,4000,-1.0,0.11231884057971014,0.4492753623188406
160m,4000,-1.0,0.23113207547169812,0.9245283018867925
160m,4000,-1.0,0.19469026548672566,0.7787610619469026
160m,4000,-1.0,0.17372881355932204,0.6949152542372882
160m,4000,-1.0,0.20089285714285715,0.8035714285714286
160m,4000,-1.0,0.16322314049586778,0.6528925619834711
160m,4000,-1.0,0.16322314049586778,0.6528925619834711
160m,4000,-1.0,0.1532258064516129,0.6129032258064516
160m,4000,-1.0,0.1532258064516129,0.6129032258064516
160m,4000,-1.0,0.142578125,0.5703125
160m,8000,-1.0,0.1532258064516129,0.6129032258064516
160m,8000,-1.0,0.1532258064516129,0.6129032258064516
160m,8000,-1.0,0.2601010101010101,1.0404040404040404
160m,8000,-1.0,0.17857142857142858,0.7142857142857143
160m,8000,-1.0,0.35542168674698793,1.4216867469879517
160m,8000,-1.0,0.13953488372093023,0.5581395348837209
160m,8000,-1.0,0.1652892561983471,0.6611570247933884
160m,8000,-1.0,0.18318965517241378,0.7327586206896551
160m,8000,-1.0,0.16322314049586778,0.6528925619834711
160m,8000,-1.0,0.20681818181818182,0.8272727272727273
160m,8000,-1.0,0.23317307692307693,0.9326923076923077
160m,8000,-1.0,0.15,0.6
160m,8000,-1.0,0.17016806722689076,0.680672268907563
160m,8000,-1.0,0.1652892561983471,0.6611570247933884
160m,8000,-1.0,0.17016806722689076,0.680672268907563
160m,8000,-1.0,0.20045045045045046,0.8018018018018018
160m,8000,-1.0,0.20045045045045046,0.8018018018018018
160m,8000,-1.0,0.19469026548672566,0.7787610619469026
160m,8000,-1.0,0.12313432835820895,0.4925373134328358
160m,8000,-1.0,0.19469026548672566,0.7787610619469026
160m,8000,-1.0,0.16735537190082644,0.6694214876033058
160m,8000,-1.0,0.296195652173913,1.184782608695652
160m,8000,-1.0,0.20045045045045046,0.8018018018018018
160m,8000,-1.0,0.20454545454545456,0.8181818181818182
160m,8000,-1.0,0.1598360655737705,0.639344262295082
160m,8000,-1.0,0.18859649122807018,0.7543859649122807
160m,8000,-1.0,0.27631578947368424,1.105263157894737
160m,8000,-1.0,0.16666666666666666,0.6666666666666666
160m,8000,-1.0,0.21728971962616822,0.8691588785046729
160m,8000,-1.0,0.1437007874015748,0.5748031496062992
160m,8000,-1.0,0.1346153846153846,0.5384615384615384
160m,8000,-1.0,0.15,0.6
160m,8000,-1.0,0.18318965517241378,0.7327586206896551
160m,8000,-1.0,0.1346153846153846,0.5384615384615384
160m,8000,-1.0,0.16322314049586778,0.6528925619834711
160m,8000,-1.0,0.2152777777777778,0.8611111111111112
160m,8000,-1.0,0.18318965517241378,0.7327586206896551
160m,16000,-1.0,0.18859649122807018,0.7543859649122807
160m,16000,-1.0,0.09722222222222222,0.3888888888888889
160m,16000,-1.0,0.14682539682539683,0.5873015873015873
160m,16000,-1.0,0.16322314049586778,0.6528925619834711
160m,16000,-1.0,0.32471264367816094,1.2988505747126438
160m,16000,-1.0,0.1652892561983471,0.6611570247933884
160m,16000,-1.0,0.20454545454545456,0.8181818181818182
160m,16000,-1.0,0.2789473684210526,1.1157894736842104
160m,16000,-1.0,0.19642857142857142,0.7857142857142857
160m,16000,-1.0,0.17372881355932204,0.6949152542372882
160m,16000,-1.0,0.16875,0.675
160m,16000,-1.0,0.15079365079365079,0.6031746031746031
160m,16000,-1.0,0.16322314049586778,0.6528925619834711
160m,16000,-1.0,0.19642857142857142,0.7857142857142857
160m,16000,-1.0,0.17735042735042736,0.7094017094017094
160m,16000,-1.0,0.1722689075630252,0.6890756302521008
160m,16000,-1.0,0.18478260869565216,0.7391304347826086
160m,16000,-1.0,0.18859649122807018,0.7543859649122807
160m,16000,-1.0,0.23798076923076922,0.9519230769230769
160m,16000,-1.0,0.140625,0.5625
160m,16000,-1.0,0.20681818181818182,0.8272727272727273
160m,16000,-1.0,0.22169811320754718,0.8867924528301887
160m,16000,-1.0,0.140625,0.5625
160m,16000,-1.0,0.18318965517241378,0.7327586206896551
160m,16000,-1.0,0.152,0.608
160m,16000,-1.0,0.23076923076923078,0.9230769230769231
160m,16000,-1.0,0.2354368932038835,0.941747572815534
160m,16000,-1.0,0.22857142857142856,0.9142857142857143
160m,16000,-1.0,0.20681818181818182,0.8272727272727273
160m,16000,-1.0,0.1794871794871795,0.717948717948718
160m,16000,-1.0,0.17291666666666666,0.6916666666666667
160m,16000,-1.0,0.19469026548672566,0.7787610619469026
160m,16000,-1.0,0.17735042735042736,0.7094017094017094
160m,16000,-1.0,0.13257575757575757,0.5303030303030303
160m,16000,-1.0,0.25,1.0
160m,16000,-1.0,0.20681818181818182,0.8272727272727273
160m,16000,-1.0,0.14682539682539683,0.5873015873015873
160m,32000,-1.0,0.15079365079365079,0.6031746031746031
160m,32000,-1.0,0.18859649122807018,0.7543859649122807
160m,32000,-1.0,0.1794871794871795,0.717948717948718
160m,32000,-1.0,0.17735042735042736,0.7094017094017094
160m,32000,-1.0,0.22169811320754718,0.8867924528301887
160m,32000,-1.0,0.15,0.6
160m,32000,-1.0,0.3055555555555556,1.2222222222222223
160m,32000,-1.0,0.21296296296296297,0.8518518518518519
160m,32000,-1.0,0.18859649122807018,0.7543859649122807
160m,32000,-1.0,0.23076923076923078,0.9230769230769231
160m,32000,-1.0,0.15,0.6
160m,32000,-1.0,0.12686567164179105,0.5074626865671642
160m,32000,-1.0,0.16735537190082644,0.6694214876033058
160m,32000,-1.0,0.1598360655737705,0.639344262295082
160m,32000,-1.0,0.1434108527131783,0.5736434108527132
160m,32000,-1.0,0.19247787610619468,0.7699115044247787
