model,prefill,gamma,budget,acceptance_rate,avg_generated_token
7b-128k,4000,4,0.1,0.9034090909090909,3.6136363636363638
7b-128k,4000,4,0.1,0.9034090909090909,3.6136363636363638
7b-128k,4000,4,0.1,0.9090909090909091,3.6363636363636362
7b-128k,4000,4,0.1,0.9244186046511628,3.697674418604651
7b-128k,4000,4,0.1,0.8478260869565217,3.391304347826087
7b-128k,4000,4,0.1,0.8777777777777778,3.511111111111111
7b-128k,4000,4,0.1,0.8532608695652174,3.4130434782608696
7b-128k,4000,4,0.1,0.8777777777777778,3.511111111111111
7b-128k,4000,4,0.1,0.9244186046511628,3.697674418604651
7b-128k,4000,4,0.1,0.8833333333333333,3.533333333333333
7b-128k,4000,4,0.1,0.8369565217391305,3.347826086956522
7b-128k,4000,4,0.1,0.8833333333333333,3.533333333333333
7b-128k,8000,4,0.1,0.9244186046511628,3.697674418604651
7b-128k,8000,4,0.1,0.8532608695652174,3.4130434782608696
7b-128k,8000,4,0.1,0.8478260869565217,3.391304347826087
7b-128k,8000,4,0.1,0.9464285714285714,3.7857142857142856
7b-128k,8000,4,0.1,0.8920454545454546,3.5681818181818183
7b-128k,8000,4,0.1,0.8532608695652174,3.4130434782608696
7b-128k,8000,4,0.1,0.8722222222222222,3.488888888888889
7b-128k,8000,4,0.1,0.9090909090909091,3.6363636363636362
7b-128k,8000,4,0.1,0.8977272727272727,3.590909090909091
7b-128k,8000,4,0.1,0.9244186046511628,3.697674418604651
7b-128k,8000,4,0.1,0.8777777777777778,3.511111111111111
7b-128k,8000,4,0.1,0.8072916666666666,3.2291666666666665
7b-128k,8000,4,0.1,0.8478260869565217,3.391304347826087
7b-128k,8000,4,0.1,0.8611111111111112,3.4444444444444446
7b-128k,8000,4,0.1,0.8532608695652174,3.4130434782608696
7b-128k,8000,4,0.1,0.8666666666666667,3.466666666666667
7b-128k,8000,4,0.1,0.9127906976744186,3.6511627906976742
7b-128k,8000,4,0.1,0.8478260869565217,3.391304347826087
7b-128k,8000,4,0.1,0.8666666666666667,3.466666666666667
7b-128k,8000,4,0.1,0.9302325581395349,3.7209302325581395
7b-128k,8000,4,0.1,0.8666666666666667,3.466666666666667
7b-128k,8000,4,0.1,0.8532608695652174,3.4130434782608696
7b-128k,8000,4,0.1,0.8920454545454546,3.5681818181818183
7b-128k,8000,4,0.1,0.936046511627907,3.744186046511628
7b-128k,8000,4,0.1,0.755,3.02
7b-128k,8000,4,0.1,0.9464285714285714,3.7857142857142856
7b-128k,8000,4,0.1,0.9127906976744186,3.6511627906976742
7b-128k,8000,4,0.1,0.9127906976744186,3.6511627906976742
7b-128k,8000,4,0.1,0.8722222222222222,3.488888888888889
7b-128k,8000,4,0.1,0.9127906976744186,3.6511627906976742
7b-128k,8000,4,0.1,0.8833333333333333,3.533333333333333
7b-128k,8000,4,0.1,0.9034090909090909,3.6136363636363638
7b-128k,8000,4,0.1,0.8666666666666667,3.466666666666667
7b-128k,8000,4,0.1,0.8977272727272727,3.590909090909091
7b-128k,8000,4,0.1,0.8722222222222222,3.488888888888889
7b-128k,8000,4,0.1,0.9302325581395349,3.7209302325581395
7b-128k,8000,4,0.1,0.8777777777777778,3.511111111111111
7b-128k,16000,4,0.1,0.796875,3.1875
7b-128k,16000,4,0.1,0.8666666666666667,3.466666666666667
7b-128k,16000,4,0.1,0.796875,3.1875
7b-128k,16000,4,0.1,0.8138297872340425,3.25531914893617
7b-128k,16000,4,0.1,0.8863636363636364,3.5454545454545454
7b-128k,16000,4,0.1,0.8666666666666667,3.466666666666667
7b-128k,16000,4,0.1,0.8297872340425532,3.3191489361702127
7b-128k,16000,4,0.1,0.9034090909090909,3.6136363636363638
7b-128k,16000,4,0.1,0.75,3.0
7b-128k,16000,4,0.1,0.8191489361702128,3.276595744680851
7b-128k,16000,4,0.1,0.8532608695652174,3.4130434782608696
7b-128k,16000,4,0.1,0.7704081632653061,3.0816326530612246
7b-128k,16000,4,0.1,0.7916666666666666,3.1666666666666665
7b-128k,16000,4,0.1,0.8532608695652174,3.4130434782608696
7b-128k,16000,4,0.1,0.842391304347826,3.369565217391304
7b-128k,16000,4,0.1,0.8920454545454546,3.5681818181818183
7b-128k,16000,4,0.1,0.8666666666666667,3.466666666666667
7b-128k,16000,4,0.1,0.7908163265306123,3.163265306122449
7b-128k,16000,4,0.1,0.9523809523809523,3.8095238095238093
7b-128k,16000,4,0.1,0.8297872340425532,3.3191489361702127
7b-128k,16000,4,0.1,0.8297872340425532,3.3191489361702127
7b-128k,16000,4,0.1,0.7916666666666666,3.1666666666666665
7b-128k,16000,4,0.1,0.824468085106383,3.297872340425532
7b-128k,16000,4,0.1,0.8586956521739131,3.4347826086956523
7b-128k,16000,4,0.1,0.8191489361702128,3.276595744680851
7b-128k,16000,4,0.1,0.8777777777777778,3.511111111111111
7b-128k,16000,4,0.1,0.842391304347826,3.369565217391304
7b-128k,16000,4,0.1,0.8138297872340425,3.25531914893617
7b-128k,16000,4,0.1,0.8977272727272727,3.590909090909091
7b-128k,16000,4,0.1,0.796875,3.1875
7b-128k,16000,4,0.1,0.8191489361702128,3.276595744680851
7b-128k,16000,4,0.1,0.842391304347826,3.369565217391304
7b-128k,16000,4,0.1,0.8532608695652174,3.4130434782608696
7b-128k,16000,4,0.1,0.8020833333333334,3.2083333333333335
7b-128k,16000,4,0.1,0.8586956521739131,3.4347826086956523
7b-128k,16000,4,0.1,0.8666666666666667,3.466666666666667
7b-128k,16000,4,0.1,0.8020833333333334,3.2083333333333335
7b-128k,24000,4,0.1,0.7857142857142857,3.142857142857143
7b-128k,24000,4,0.1,0.7857142857142857,3.142857142857143
7b-128k,24000,4,0.1,0.8191489361702128,3.276595744680851
7b-128k,24000,4,0.1,0.8369565217391305,3.347826086956522
7b-128k,24000,4,0.1,0.8722222222222222,3.488888888888889
7b-128k,24000,4,0.1,0.6517857142857143,2.607142857142857
7b-128k,24000,4,0.1,0.8191489361702128,3.276595744680851
7b-128k,24000,4,0.1,0.8586956521739131,3.4347826086956523
7b-128k,24000,4,0.1,0.8833333333333333,3.533333333333333
7b-128k,24000,4,0.1,0.7857142857142857,3.142857142857143
7b-128k,24000,4,0.1,0.7806122448979592,3.122448979591837
7b-128k,24000,4,0.1,0.7908163265306123,3.163265306122449
7b-128k,24000,4,0.1,0.755,3.02
7b-128k,24000,4,0.1,0.8072916666666666,3.2291666666666665
7b-128k,24000,4,0.1,0.8722222222222222,3.488888888888889
7b-128k,24000,4,0.1,0.8586956521739131,3.4347826086956523
7b-128k,24000,4,0.1,0.8478260869565217,3.391304347826087
7b-128k,24000,4,0.1,0.7908163265306123,3.163265306122449
7b-128k,24000,4,0.1,0.6944444444444444,2.7777777777777777
7b-128k,24000,4,0.1,0.8863636363636364,3.5454545454545454
7b-128k,24000,4,0.1,0.8532608695652174,3.4130434782608696
7b-128k,24000,4,0.1,0.842391304347826,3.369565217391304
7b-128k,24000,4,0.1,0.8666666666666667,3.466666666666667
7b-128k,24000,4,0.1,0.8977272727272727,3.590909090909091
7b-128k,24000,4,0.1,0.8478260869565217,3.391304347826087
7b-128k,24000,4,0.1,0.8369565217391305,3.347826086956522
7b-128k,24000,4,0.1,0.8351063829787234,3.3404255319148937
7b-128k,24000,4,0.1,0.8722222222222222,3.488888888888889
7b-128k,24000,4,0.1,0.614406779661017,2.457627118644068
7b-128k,24000,4,0.1,0.7755102040816326,3.1020408163265305
7b-128k,24000,4,0.1,0.8020833333333334,3.2083333333333335
7b-128k,24000,4,0.1,0.765,3.06
7b-128k,24000,4,0.1,0.8722222222222222,3.488888888888889
7b-128k,24000,4,0.1,0.9034090909090909,3.6136363636363638
7b-128k,24000,4,0.1,0.9034090909090909,3.6136363636363638
7b-128k,24000,4,0.1,0.8191489361702128,3.276595744680851
7b-128k,24000,4,0.1,0.8478260869565217,3.391304347826087
7b-128k,32000,4,0.1,0.7916666666666666,3.1666666666666665
7b-128k,32000,4,0.1,0.8666666666666667,3.466666666666667
7b-128k,32000,4,0.1,0.7352941176470589,2.9411764705882355
7b-128k,32000,4,0.1,0.796875,3.1875
7b-128k,32000,4,0.1,0.8666666666666667,3.466666666666667
7b-128k,32000,4,0.1,0.8138297872340425,3.25531914893617
7b-128k,32000,4,0.1,0.842391304347826,3.369565217391304
7b-128k,32000,4,0.1,0.8297872340425532,3.3191489361702127
7b-128k,32000,4,0.1,0.7755102040816326,3.1020408163265305
7b-128k,32000,4,0.1,0.8722222222222222,3.488888888888889
7b-128k,32000,4,0.1,0.8138297872340425,3.25531914893617
7b-128k,32000,4,0.1,0.8072916666666666,3.2291666666666665
7b-128k,32000,4,0.1,0.796875,3.1875
7b-128k,32000,4,0.1,0.7450980392156863,2.980392156862745
7b-128k,32000,4,0.1,0.7755102040816326,3.1020408163265305
7b-128k,32000,4,0.1,0.76,3.04
7b-128k,32000,4,0.1,0.8777777777777778,3.511111111111111
7b-128k,32000,4,0.1,0.8072916666666666,3.2291666666666665
7b-128k,32000,4,0.1,0.7352941176470589,2.9411764705882355
7b-128k,32000,4,0.1,0.7908163265306123,3.163265306122449
7b-128k,32000,4,0.1,0.7806122448979592,3.122448979591837
7b-128k,32000,4,0.1,0.8478260869565217,3.391304347826087
7b-128k,32000,4,0.1,0.8666666666666667,3.466666666666667
7b-128k,32000,4,0.1,0.8125,3.25
7b-128k,32000,4,0.1,0.8138297872340425,3.25531914893617
7b-128k,32000,4,0.1,0.8138297872340425,3.25531914893617
7b-128k,32000,4,0.1,0.7303921568627451,2.9215686274509802
7b-128k,32000,4,0.1,0.7857142857142857,3.142857142857143
7b-128k,32000,4,0.1,0.5875,2.35
7b-128k,32000,4,0.1,0.7916666666666666,3.1666666666666665
7b-128k,32000,4,0.1,0.76,3.04
7b-128k,32000,4,0.1,0.8369565217391305,3.347826086956522
7b-128k,32000,4,0.1,0.8351063829787234,3.3404255319148937
7b-128k,32000,4,0.1,0.8191489361702128,3.276595744680851
7b-128k,32000,4,0.1,0.7755102040816326,3.1020408163265305
7b-128k,32000,4,0.1,0.8478260869565217,3.391304347826087
7b-128k,32000,4,0.1,0.75,3.0
7b-128k,48000,4,0.1,0.7115384615384616,2.8461538461538463
7b-128k,48000,4,0.1,0.7122641509433962,2.849056603773585
7b-128k,48000,4,0.1,0.8191489361702128,3.276595744680851
7b-128k,48000,4,0.1,0.76,3.04
7b-128k,48000,4,0.1,0.755,3.02
7b-128k,48000,4,0.1,0.7401960784313726,2.9607843137254903
7b-128k,48000,4,0.1,0.8072916666666666,3.2291666666666665
7b-128k,48000,4,0.1,0.7755102040816326,3.1020408163265305
7b-128k,48000,4,0.1,0.7122641509433962,2.849056603773585
7b-128k,48000,4,0.1,0.7704081632653061,3.0816326530612246
7b-128k,48000,4,0.1,0.7755102040816326,3.1020408163265305
7b-128k,48000,4,0.1,0.7704081632653061,3.0816326530612246
7b-128k,48000,4,0.1,0.8351063829787234,3.3404255319148937
7b-128k,48000,4,0.1,0.7704081632653061,3.0816326530612246
7b-128k,48000,4,0.1,0.6851851851851852,2.740740740740741
7b-128k,48000,4,0.1,0.7450980392156863,2.980392156862745
7b-128k,48000,4,0.1,0.8138297872340425,3.25531914893617
7b-128k,48000,4,0.1,0.755,3.02
7b-128k,48000,4,0.1,0.8478260869565217,3.391304347826087
7b-128k,48000,4,0.1,0.8351063829787234,3.3404255319148937
7b-128k,48000,4,0.1,0.8611111111111112,3.4444444444444446
7b-128k,48000,4,0.1,0.796875,3.1875
7b-128k,48000,4,0.1,0.8138297872340425,3.25531914893617
7b-128k,48000,4,0.1,0.8191489361702128,3.276595744680851
7b-128k,48000,4,0.1,0.76,3.04
7b-128k,48000,4,0.1,0.7908163265306123,3.163265306122449
7b-128k,48000,4,0.1,0.6805555555555556,2.7222222222222223
7b-128k,48000,4,0.1,0.796875,3.1875
7b-128k,48000,4,0.1,0.5151515151515151,2.0606060606060606
7b-128k,48000,4,0.1,0.7806122448979592,3.122448979591837
7b-128k,48000,4,0.1,0.7211538461538461,2.8846153846153846
7b-128k,48000,4,0.1,0.7908163265306123,3.163265306122449
7b-128k,48000,4,0.1,0.7122641509433962,2.849056603773585
7b-128k,48000,4,0.1,0.6636363636363637,2.6545454545454548
7b-128k,48000,4,0.1,0.8863636363636364,3.5454545454545454
7b-128k,48000,4,0.1,0.8125,3.25
7b-128k,48000,4,0.1,0.6759259259259259,2.7037037037037037
